Package                   Version   Latest   Type
------------------------- --------- -------- -----
anyio                     4.9.0     4.11.0   wheel
backrefs                  5.9       6.0.1    wheel
bandit                    1.7.8     1.8.6    wheel
beautifulsoup4            4.13.4    4.13.5   wheel
black                     25.1.0    25.9.0   wheel
build                     1.2.1     1.3.0    wheel
cachetools                6.1.0     6.2.0    wheel
certifi                   2025.7.14 2025.8.3 wheel
cffi                      1.17.1    2.0.0    wheel
click                     8.2.1     8.3.0    wheel
coverage                  7.10.1    7.10.7   wheel
cryptography              45.0.6    46.0.1   wheel
cyclonedx-python-lib      6.4.4     11.1.0   wheel
docutils                  0.22      0.22.2   wheel
executing                 2.2.0     2.2.1    wheel
fastapi                   0.116.1   0.117.1  wheel
filelock                  3.12.4    3.19.1   wheel
gevent                    25.5.1    25.9.1   sdist
ipython                   8.12.3    8.37.0   wheel
isort                     5.13.0    6.0.1    wheel
jsonschema-specifications 2025.4.1  2025.9.1 wheel
libcst                    1.7.0     1.8.4    wheel
Markdown                  3.8.2     3.9      wheel
marshmallow               4.0.0     4.0.1    wheel
mistune                   3.1.3     3.1.4    wheel
mkdocs                    1.6.0     1.6.1    wheel
mkdocs-material           9.6.17    9.6.20   wheel
more-itertools            10.7.0    10.8.0   wheel
mypy                      1.12.0    1.18.2   wheel
narwhals                  2.1.2     2.5.0    wheel
opentelemetry-api         1.36.0    1.37.0   wheel
pandas                    2.3.1     2.3.2    wheel
parso                     0.8.4     0.8.5    wheel
pip_audit                 2.7.0     2.9.0    wheel
platformdirs              4.3.8     4.4.0    wheel
prompt_toolkit            3.0.51    3.0.52   wheel
protobuf                  5.29.5    6.32.1   wheel
psutil                    7.0.0     7.1.0    wheel
py-serializable           1.1.2     2.1.0    wheel
pycparser                 2.22      2.23     wheel
pydantic                  2.11.7    2.11.9   wheel
pydantic_core             2.33.2    2.39.0   wheel
pyparsing                 3.2.3     3.2.5    wheel
pytest                    8.4.1     8.4.2    wheel
pytest-cov                6.2.1     7.0.0    wheel
pytest-mock               3.14.1    3.15.1   wheel
pyzmq                     27.0.2    27.1.0   wheel
requests                  2.32.4    2.32.5   wheel
rpds-py                   0.27.0    0.27.1   wheel
ruamel.yaml.clib          0.2.12    0.2.14   wheel
safety                    3.2.4     3.6.2    wheel
safety-schemas            0.0.5     0.0.16   wheel
soupsieve                 2.7       2.8      wheel
starlette                 0.47.2    0.48.0   wheel
stevedore                 5.4.1     5.5.0    wheel
streamlit                 1.47.1    1.50.0   wheel
twine                     5.0.0     6.2.0    wheel
typer                     0.16.1    0.19.2   wheel
typing_extensions         4.14.1    4.15.0   wheel
uvicorn                   0.35.0    0.37.0   wheel
wcwidth                   0.2.13    0.2.14   wheel
wheel                     0.43.0    0.45.1   wheel
yarg                      0.1.9     0.1.10   wheel
