Audit de sécurité - Problèmes détectés:
- Clé API trouvée dans test_resources.py
- Mot de passe en clair dans _urls.py
- Clé API trouvée dans dir_util.py
- Clé API trouvée dans py311.py
- Clé API trouvée dans __init__.py
- Clé API trouvée dans windows.py
- Clé API trouvée dans test_pyprojecttoml.py
- Mot de passe en clair dans misc.py
- Clé API trouvée dans windows.py
- Clé API trouvée dans progress.py
- Clé API trouvée dans pyopenssl.py
- Clé API trouvée dans ssl_.py
- Clé API trouvée dans labels.py
- Clé API trouvée dans __init__.py
- Clé API trouvée dans bricks.py
- Clé API trouvée dans api.py
- Clé API trouvée dans polling.py
- Clé API trouvée dans pyopenssl.py
- Clé API trouvée dans ssl_.py
- Mot de passe en clair dans httpclient_test.py
- Clé API trouvée dans process_test.py
- Clé API trouvée dans twisted_test.py
- Clé API trouvée dans util.py
- Clé API trouvée dans circlerefs_test.py
- Clé API trouvée dans gen_test.py
- Mot de passe en clair dans curl_httpclient_test.py
- Clé API trouvée dans ioloop_test.py
- Clé API trouvée dans simple_httpclient_test.py
- Clé API trouvée dans websocket_test.py
- Clé API trouvée dans tcpclient_test.py
- Clé API trouvée dans netutil_test.py
- Clé API trouvée dans tcpserver_test.py
- Clé API trouvée dans iostream_test.py
- Clé API trouvée dans core.py
- Clé API trouvée dans results.py
- Clé API trouvée dans _cocoa_builtins.py
- Clé API trouvée dans _julia_builtins.py
- Clé API trouvée dans _lasso_builtins.py
- Clé API trouvée dans _lilypond_builtins.py
- Clé API trouvée dans _sourcemod_builtins.py
- Clé API trouvée dans automation.py
- Clé API trouvée dans igor.py
- Clé API trouvée dans macaulay2.py
- Clé API trouvée dans ncl.py
- Clé API trouvée dans pascal.py
- Clé API trouvée dans wgsl.py
- Clé API trouvée dans test_other.py
- Clé API trouvée dans orc.py
- Clé API trouvée dans core.py
- Clé API trouvée dans conftest.py
- Clé API trouvée dans test_metadata.py
- Clé API trouvée dans _pswindows.py
- Clé API trouvée dans _common.py
- Clé API trouvée dans _psosx.py
- Clé API trouvée dans _psbsd.py
- Clé API trouvée dans _psaix.py
- Clé API trouvée dans _pslinux.py
- Clé API trouvée dans _pssunos.py
- Clé API trouvée dans test_linux.py
- Appel système potentiellement dangereux dans __init__.py
- Clé API trouvée dans test_windows.py
- Clé API trouvée dans text_format.py
- Clé API trouvée dans decoder.py
- Clé API trouvée dans testing_refleaks.py
- Clé API trouvée dans completion.py
- Clé API trouvée dans windows.py
- Clé API trouvée dans pyparsing.py
- Appel système potentiellement dangereux dans ImageShow.py
- Clé API trouvée dans PsdImagePlugin.py
- Clé API trouvée dans ImageFont.py
- Appel système potentiellement dangereux dans __init__.py
- Clé API trouvée dans extras.py
- Clé API trouvée dans core.py
- Clé API trouvée dans mrecords.py
- Clé API trouvée dans test_core.py
- Clé API trouvée dans test_deprecations.py
- Clé API trouvée dans test_subclassing.py
- Clé API trouvée dans test_extras.py
- Clé API trouvée dans _add_newdocs.py
- Clé API trouvée dans test_mem_overlap.py
- Clé API trouvée dans test_simd.py
- Clé API trouvée dans crackfortran.py
- Appel système potentiellement dangereux dans diagnose.py
- Clé API trouvée dans _arraysetops_impl.py
- Clé API trouvée dans _utils.py
- Clé API trouvée dans expr.py
- Clé API trouvée dans series.py
- Clé API trouvée dans dataframe.py
- Clé API trouvée dans expr.py
- Clé API trouvée dans expr_dt.py
- Clé API trouvée dans expr_str.py
- Clé API trouvée dans group_by.py
- Clé API trouvée dans namespace.py
- Clé API trouvée dans selectors.py
- Clé API trouvée dans utils.py
- Clé API trouvée dans executing.py
- Clé API trouvée dans nodes.py
- Clé API trouvée dans tables.py
- Clé API trouvée dans parts.py
- Clé API trouvée dans math2html.py
- Clé API trouvée dans _html_base.py
- Clé API trouvée dans __init__.py
- Clé API trouvée dans ansitowin32_test.py
- Clé API trouvée dans constants.py
- Clé API trouvée dans joininggroup.py
- Clé API trouvée dans tasklist.py
- Clé API trouvée dans fixtures.py
- Clé API trouvée dans test_git.py
- Clé API trouvée dans checkstrformat.py
- Clé API trouvée dans checkexpr.py
- Clé API trouvée dans visitors.py
- Clé API trouvée dans testtypegen.py
- Clé API trouvée dans parser_block.py
- Clé API trouvée dans fence.py
- Clé API trouvée dans heading.py
- Clé API trouvée dans lheading.py
- Clé API trouvée dans list.py
- Clé API trouvée dans state_block.py
- Clé API trouvée dans imports.py
- Clé API trouvée dans py311.py
- Clé API trouvée dans constants.py
- Clé API trouvée dans _htmlparser.py
- Clé API trouvée dans progress.py
- Clé API trouvée dans cacheprovider.py
- Appel système potentiellement dangereux dans capture.py
- Clé API trouvée dans structures.py
- Clé API trouvée dans __init__.py
- Clé API trouvée dans functional_validators.py
- Clé API trouvée dans json_schema.py
- Mot de passe en clair dans types.py
- Clé API trouvée dans _generate_schema.py
- Clé API trouvée dans class_validators.py
- Clé API trouvée dans missing.py
- Clé API trouvée dans generic.py
- Clé API trouvée dans reshape.py
- Clé API trouvée dans array_manager.py
- Clé API trouvée dans _ranges.py
- Clé API trouvée dans mask_ops.py
- Clé API trouvée dans base.py
- Clé API trouvée dans readers.py
- Clé API trouvée dans python_parser.py
- Clé API trouvée dans base_parser.py
- Clé API trouvée dans style.py
- Clé API trouvée dans test_nanops.py
- Clé API trouvée dans test_hashing.py
- Clé API trouvée dans test_dialect.py
- Clé API trouvée dans test_textreader.py
